Page,Title,URL,Report Link,Total Violations,Total Passes,Critical,Serious,Moderate,Minor,Severity Score
191,Events | HMCPL Intercept,https://events.hmcpl.org/?filters=keyword%3A%3Agames__location%3A%3A9ffa6b62-9e09-4a61-8f2c-e8c1f895c23a__audience%3A%3A49cd3d65-006e-4f5d-ab6d-a085df7600f4__designation%3A%3Aevents&page=1,./reports/191.html,4,43,0,18,1,0,56
192,"Games, Movies and Music | HMCPL Intercept",https://events.hmcpl.org/taxonomy/term/58,./reports/192.html,2,39,0,10,1,0,32
193,Friends of the Library | HMCPL Intercept,https://events.hmcpl.org/taxonomy/term/59,./reports/193.html,2,39,0,10,1,0,32
194,Computer Classes | HMCPL Intercept,https://events.hmcpl.org/taxonomy/term/55,./reports/194.html,2,38,0,10,1,0,32
195,Senior Adults | HMCPL Intercept,https://events.hmcpl.org/taxonomy/term/151,./reports/195.html,2,39,0,10,1,0,32
196,Technology | HMCPL Intercept,https://events.hmcpl.org/taxonomy/term/84,./reports/196.html,2,38,0,10,1,0,32
197,Events this week | HMCPL Intercept,https://events.hmcpl.org/events/thisweek?order=field_date_time&sort=asc,./reports/197.html,0,44,0,0,0,0,0
198,Events this week | HMCPL Intercept,https://events.hmcpl.org/events/thisweek?order=title&sort=asc,./reports/198.html,0,44,0,0,0,0,0
199,CANCELED: English Conversation Club: Session 4 | HMCPL Intercept,https://events.hmcpl.org/event/2026-03-23/canceled-english-conversation-club-session-4,./reports/199.html,3,42,0,1,2,0,7
2,Events | HMCPL Intercept,https://events.hmcpl.org/index.php,./reports/2.html,4,43,0,18,1,0,56
20,Gurley Public Library | HMCPL Intercept,https://events.hmcpl.org/gurley-public-library,./reports/20.html,1,41,0,2,0,0,6
200,Workforce Development Area | HMCPL Intercept,https://events.hmcpl.org/location/downtown-huntsville-library/workforce-development-area,./reports/200.html,0,39,0,0,0,0,0
21,Madison Public Library | HMCPL Intercept,https://events.hmcpl.org/madison-public-library,./reports/21.html,1,41,0,2,0,0,6
22,Monrovia Public Library | HMCPL Intercept,https://events.hmcpl.org/monrovia-public-library,./reports/22.html,1,41,0,2,0,0,6
23,New Hope Public Library | HMCPL Intercept,https://events.hmcpl.org/new-hope-public-library,./reports/23.html,1,41,0,2,0,0,6
24,North Huntsville Public Library | HMCPL Intercept,https://events.hmcpl.org/north-huntsville-public-library,./reports/24.html,1,41,0,2,0,0,6
25,South Huntsville Public Library | HMCPL Intercept,https://events.hmcpl.org/south-huntsville-public-library,./reports/25.html,1,41,0,2,0,0,6
26,Tillman D. Hill Public Library of Hazel Green | HMCPL Intercept,https://events.hmcpl.org/tillman-d-hill-public-library-hazel-green,./reports/26.html,1,41,0,2,0,0,6
27,Triana Public Library | HMCPL Intercept,https://events.hmcpl.org/triana-public-library,./reports/27.html,1,42,0,2,0,0,6
28,Events this week | HMCPL Intercept,https://events.hmcpl.org/index.php/events/thisweek?order=field_date_time&sort=asc,./reports/28.html,0,44,0,0,0,0,0
29,Events this week | HMCPL Intercept,https://events.hmcpl.org/index.php/events/thisweek?order=title&sort=asc,./reports/29.html,0,44,0,0,0,0,0
3,Locations | HMCPL Intercept,https://events.hmcpl.org/index.php/locations,./reports/3.html,2,39,0,20,1,0,62
30,CANCELED: English Conversation Club: Session 4 | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-23/canceled-english-conversation-club-session-4,./reports/30.html,3,42,0,1,2,0,7
31,Downtown Huntsville Library | HMCPL Intercept,https://events.hmcpl.org/index.php/downtown-huntsville-library,./reports/31.html,1,42,0,2,0,0,6
32,Workforce Development Area | HMCPL Intercept,https://events.hmcpl.org/index.php/location/downtown-huntsville-library/workforce-development-area,./reports/32.html,0,39,0,0,0,0,0
33,Stitch & Chat | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-23/stitch-chat,./reports/33.html,3,42,0,1,2,0,7
34,New Hope Public Library | HMCPL Intercept,https://events.hmcpl.org/index.php/new-hope-public-library,./reports/34.html,1,41,0,2,0,0,6
35,The Theatre Hour | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-23/theatre-hour,./reports/35.html,3,42,0,1,2,0,7
36,Youth Services Storytime Area | HMCPL Intercept,https://events.hmcpl.org/index.php/location/downtown-huntsville-library/youth-services-storytime-area,./reports/36.html,0,39,0,0,0,0,0
37,"The Films of Billy Wilder, Part Two | HMCPL Intercept",https://events.hmcpl.org/index.php/event/2026-03-23/films-billy-wilder-part-two,./reports/37.html,3,41,0,1,2,0,7
38,Madison City Chess League | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-23/madison-city-chess-league,./reports/38.html,3,41,0,1,2,0,7
39,Madison Public Library | HMCPL Intercept,https://events.hmcpl.org/index.php/madison-public-library,./reports/39.html,1,41,0,2,0,0,6
4,Events this week | HMCPL Intercept,https://events.hmcpl.org/index.php/events/thisweek,./reports/4.html,0,44,0,0,0,0,0
40,Auditorium 1 | HMCPL Intercept,https://events.hmcpl.org/index.php/location/madison-public-library/auditorium-1,./reports/40.html,1,40,0,0,1,0,2
41,Canceled: Adult LEGO® Club | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-23/canceled-adult-legor-club,./reports/41.html,3,41,0,1,2,0,7
42,Dungeons & DIY: Worldbuilding Zines | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-23/dungeons-diy-worldbuilding-zines,./reports/42.html,3,41,0,1,2,0,7
43,South Huntsville Public Library | HMCPL Intercept,https://events.hmcpl.org/index.php/south-huntsville-public-library,./reports/43.html,1,41,0,2,0,0,6
44,Tackle Your To-Do List | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-23/tackle-your-do-list,./reports/44.html,3,41,0,1,2,0,7
45,The Book Report Book Club | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-23/book-report-book-club,./reports/45.html,3,42,0,1,2,0,7
46,Huntsville Hospital - Breastfeeding Support Services | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-24/huntsville-hospital-breastfeeding-support-services,./reports/46.html,3,41,0,1,2,0,7
47,North Huntsville Public Library | HMCPL Intercept,https://events.hmcpl.org/index.php/north-huntsville-public-library,./reports/47.html,1,41,0,2,0,0,6
48,Meeting Room | HMCPL Intercept,https://events.hmcpl.org/index.php/location/north-huntsville-public-library/meeting-room,./reports/48.html,0,39,0,0,0,0,0
49,Mother Goose Storytime (0-3 years) | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-24/mother-goose-storytime-0-3-years,./reports/49.html,3,41,0,1,2,0,7
5,Baby Lapsit | HMCPL Intercept,https://events.hmcpl.org/event/2026-03-23/baby-lapsit,./reports/5.html,3,41,0,1,2,0,7
50,Toddler Stories and Songs | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-24/toddler-stories-and-songs,./reports/50.html,3,41,0,1,2,0,7
51,Program Room | HMCPL Intercept,https://events.hmcpl.org/index.php/location/madison-public-library/program-room,./reports/51.html,0,39,0,0,0,0,0
52,Brooke's Storytime Takeover! | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-24/brookes-storytime-takeover,./reports/52.html,3,42,0,1,2,0,7
53,Tinker Tots Storytime | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-24/tinker-tots-storytime,./reports/53.html,3,41,0,1,2,0,7
54,Toddler Time | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-24/toddler-time,./reports/54.html,3,41,0,1,2,0,7
55,Monrovia Public Library | HMCPL Intercept,https://events.hmcpl.org/index.php/monrovia-public-library,./reports/55.html,1,41,0,2,0,0,6
56,Tatting on Tuesday | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-24/tatting-tuesday,./reports/56.html,3,41,0,1,2,0,7
57,Creative Commons | HMCPL Intercept,https://events.hmcpl.org/index.php/location/south-huntsville-library/creative-commons,./reports/57.html,0,39,0,0,0,0,0
58,Book Buddies Storytime (3-6 years) | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-24/book-buddies-storytime-3-6-years,./reports/58.html,3,41,0,1,2,0,7
59,Preschool Stories and Songs | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-24/preschool-stories-and-songs,./reports/59.html,3,41,0,1,2,0,7
6,First Steps Storytime | HMCPL Intercept,https://events.hmcpl.org/event/2026-03-23/first-steps-storytime,./reports/6.html,3,41,0,1,2,0,7
60,Storytime with Ms. Fran | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-24/storytime-ms-fran,./reports/60.html,3,41,0,1,2,0,7
61,Tillman D. Hill Public Library of Hazel Green | HMCPL Intercept,https://events.hmcpl.org/index.php/tillman-d-hill-public-library-hazel-green,./reports/61.html,1,41,0,2,0,0,6
62,Programming Area | HMCPL Intercept,https://events.hmcpl.org/index.php/location/tillman-d-hill-public-library-hazel-green/programming-area,./reports/62.html,0,39,0,0,0,0,0
63,Large Print Book Club | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-24/large-print-book-club,./reports/63.html,3,42,0,1,2,0,7
64,Board Games at the Library | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-24/board-games-library,./reports/64.html,3,41,0,1,2,0,7
65,Tunes and Tales Storytime | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-24/tunes-and-tales-storytime,./reports/65.html,3,41,0,1,2,0,7
66,Gurley Public Library | HMCPL Intercept,https://events.hmcpl.org/index.php/gurley-public-library,./reports/66.html,1,41,0,2,0,0,6
67,Canceled: Bookmobile at the Mark Russell Recreation Center | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-24/canceled-bookmobile-mark-russell-recreation-center,./reports/67.html,1,41,0,0,1,0,2
68,Outreach | HMCPL Intercept,https://events.hmcpl.org/index.php/outreach,./reports/68.html,1,41,0,2,0,0,6
69,"Ready, Set, Kindergarten! | HMCPL Intercept",https://events.hmcpl.org/index.php/event/2026-03-24/ready-set-kindergarten,./reports/69.html,3,41,0,1,2,0,7
7,Homeschool Art(ist) Education | HMCPL Intercept,https://events.hmcpl.org/event/2026-03-23/homeschool-artist-education,./reports/7.html,3,41,0,1,2,0,7
70,Internet Safety | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-24/internet-safety,./reports/70.html,3,42,0,1,2,0,7
71,Workforce Development Lab | HMCPL Intercept,https://events.hmcpl.org/index.php/location/north-huntsville-public-library/workforce-development-lab,./reports/71.html,0,39,0,0,0,0,0
72,Smartphone Skills: Defending Your Phone (Downtown) | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-24/smartphone-skills-defending-your-phone-downtown,./reports/72.html,3,41,0,1,2,0,7
73,Family Art Tuesdays | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-24/family-art-tuesdays,./reports/73.html,3,41,0,1,2,0,7
74,Triana Public Library | HMCPL Intercept,https://events.hmcpl.org/index.php/triana-public-library,./reports/74.html,1,42,0,2,0,0,6
